Rotation,Torque
-50.5263,-0.0262
-50.6266,-0.0268
-50.7268,-0.0274
-50.8272,-0.028
-50.9273,-0.0285
-51.028,-0.0291
-51.1287,-0.0296
-51.2296,-0.0302
-51.3302,-0.0308
-51.4305,-0.0313
-51.5314,-0.0319
-51.6319,-0.0324
-51.7324,-0.033
-51.8334,-0.0336
-51.9344,-0.0341
-52.0352,-0.0346
-52.1361,-0.0352
-52.237,-0.0358
-52.3375,-0.0363
-52.4381,-0.0368
-52.5383,-0.0373
-52.6384,-0.0379
-52.7391,-0.0385
-52.8397,-0.0391
-52.9401,-0.0397
-53.0412,-0.0402
-53.1413,-0.0407
-53.2418,-0.0412
-53.3421,-0.0418
-53.4424,-0.0424
-53.543,-0.043
-53.644,-0.0436
-53.7445,-0.0441
-53.8448,-0.0447
-53.9449,-0.0452
-54.0452,-0.0457
-54.1457,-0.0463
-54.2458,-0.0468
-54.3464,-0.0474
-54.4471,-0.048
-54.5476,-0.0486
-54.6483,-0.0491
-54.7489,-0.0496
-54.8491,-0.0502
-54.9492,-0.0506
-55.0496,-0.0511
-55.1497,-0.0517
-55.2504,-0.0522
-55.3509,-0.0527
-55.451,-0.0532
-55.551,-0.0539
-55.6513,-0.0545
-55.7518,-0.0551
-55.8524,-0.0557
-55.9525,-0.0561
-56.0532,-0.0566
-56.1539,-0.0572
-56.2541,-0.0577
-56.3548,-0.0583
-56.455,-0.0589
-56.5557,-0.0595
-56.6557,-0.0601
-56.7563,-0.0607
-56.8564,-0.0612
-56.957,-0.0617
-57.0579,-0.0622
-57.1586,-0.0627
-57.2592,-0.0633
-57.36,-0.0639
-57.4603,-0.0644
-57.5605,-0.0649
-57.661,-0.0653
-57.7615,-0.0658
-57.8619,-0.0663
-57.9624,-0.0669
-58.063,-0.0675
-58.1634,-0.068
-58.2641,-0.0684
-58.3645,-0.069
-58.4653,-0.0696
-58.5663,-0.0701
-58.6673,-0.0707
-58.7678,-0.0712
-58.8686,-0.0717
-58.9687,-0.0722
-59.0694,-0.0728
-59.1696,-0.0733
-59.2698,-0.0739
-59.3702,-0.0744
-59.4704,-0.075
-59.5706,-0.0755
-59.6706,-0.0756
-59.7714,-0.0763
-59.8722,-0.0767
-59.9724,-0.0773
-60.0733,-0.0779
-60.1738,-0.0783
-60.2738,-0.0789
-60.3747,-0.0794
-60.4749,-0.0799
-60.5757,-0.0805
-60.6758,-0.0809
-60.7767,-0.0813
-60.8767,-0.0819
-60.9776,-0.0825
-61.078,-0.0831
-61.1783,-0.0837
-61.2786,-0.0843
-61.3789,-0.0848
-61.479,-0.0853
-61.58,-0.0858
-61.6808,-0.0862
-61.781,-0.0867
-61.881,-0.0873
-61.9811,-0.0878
-62.0815,-0.0883
-62.1824,-0.0889
-62.2833,-0.0894
-62.3838,-0.09
-62.4843,-0.0905
