date and time,Trajectory,Waypoint,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
2/3/2024 14:27,1,59,0.044877417,-0.114876166,0.351104512,-0.108486606,-0.056571603,0.010708734,0.992427643,-97.0798748,-102.4097563,-53.27003708,-81.7788671,-20.65087672,-12.39052603,-99.2343733,-107.7970884,-55.96378221
2/3/2024 14:27,1,60,0.057174519,-0.104771197,0.350461678,-0.064892488,-0.054419944,0.011013319,0.996343978,-91.26944992,-102.201467,-53.14273186,-86.26076818,-20.41927102,-12.25156261,-98.25961638,-113.3148176,-58.69948619
2/3/2024 14:27,1,61,0.069148591,-0.087657326,0.347623702,-0.044299806,-0.064010944,0.011071671,0.996903948,-88.50490114,-94.62052897,-49.33763705,-82.71598492,-22.81041231,-13.43250749,-99.11034144,-110.859583,-57.45724314
2/3/2024 14:27,1,62,0.081823999,-0.076397732,0.34558114,-0.049934474,-0.081333959,0.008752225,0.995396761,-85.74035237,-87.0395909,-45.53254224,-79.17120165,-25.2015536,-14.61345236,-99.96106651,-108.4043484,-56.21500009
2/3/2024 14:27,1,63,0.092288895,-0.069531264,0.344338334,-0.059665473,-0.099219907,0.007724029,0.993245053,-82.97580359,-79.45865283,-41.72744743,-75.62641838,-27.5926949,-15.79439723,-100.8117916,-105.9491139,-54.97275704
2/3/2024 14:27,1,64,0.09935801,-0.057596079,0.342971635,-0.061816092,-0.118551403,0.006720881,0.990999087,-80.21125482,-71.87771476,-37.92235262,-72.08163512,-29.98383619,-16.9753421,-101.6625166,-103.4938793,-53.73051399
2/3/2024 14:27,1,65,0.106177371,-0.04706011,0.341679364,-0.065166891,-0.138797862,0.004884102,0.988162243,-77.44670605,-64.29677669,-34.11725782,-68.53685185,-32.37497748,-18.15628697,-102.5132417,-101.0386448,-52.48827094
2/3/2024 14:27,1,66,0.111389466,-0.042587406,0.34080442,-0.077239583,-0.15467812,-0.00034499,0.984940902,-74.68215727,-56.71583862,-30.31216301,-64.99206858,-34.76611877,-19.33723184,-103.3639668,-98.58341023,-51.24602789
2/3/2024 14:28,1,67,0.116516906,-0.034028986,0.339766483,-0.075650388,-0.173314744,-0.001585259,0.981955453,-71.9176085,-49.13490055,-26.5070682,-61.44728532,-37.15726006,-20.51817671,-104.2146918,-96.12817568,-50.00378484
2/3/2024 14:28,1,68,0.119948186,-0.036041648,0.33973431,-0.085477355,-0.18929002,-0.001813644,0.978192023,-69.15305972,-41.55396248,-22.70197339,-57.90250205,-39.54840135,-21.69912159,-105.0654169,-93.67294112,-48.76154179
2/3/2024 14:28,1,69,0.12114941,-0.032042803,0.338788436,-0.08658262,-0.202610749,-0.004419227,0.975414189,-66.38851095,-33.97302441,-18.89687858,-54.35771878,-41.93954264,-22.88006646,-105.916142,-91.21770657,-47.51929874
2/3/2024 14:28,1,70,0.124347316,-0.030735356,0.339222678,-0.09510164,-0.224707189,-0.006052317,0.969755507,-63.62396217,-26.39208634,-15.09178377,-50.81293552,-44.33068393,-24.06101133,-106.766867,-88.76247201,-46.27705569
2/3/2024 14:28,1,71,0.125605219,-0.025400424,0.338867952,-0.099089041,-0.243083724,-0.008912631,0.964889729,-60.8594134,-18.81114827,-11.28668896,-47.26815225,-46.72182522,-25.2419562,-107.6175921,-86.30723746,-45.03481264
2/3/2024 14:28,1,72,0.133475547,-0.025580046,0.340788382,-0.108248761,-0.257126904,-0.012585208,0.960213117,-58.5673994,-14.10390986,-8.462345913,-43.80309332,-46.18135327,-24.50099638,-107.1648193,-91.87447344,-47.34770678
2/3/2024 14:28,1,73,0.148004586,-0.024775635,0.344251577,-0.112490001,-0.268733315,-0.017803311,0.956457766,-56.2753854,-9.396671438,-5.638002863,-40.33803438,-45.64088132,-23.76003657,-106.7120464,-97.44170941,-49.66060093
2/3/2024 14:28,1,74,0.165714215,-0.023141562,0.349615026,-0.117320563,-0.281013658,-0.024468676,0.952191329,-53.9833714,-4.68943302,-2.813659812,-36.87297545,-45.10040937,-23.01907675,-106.2592736,-103.0089454,-51.97349507
2/3/2024 14:28,1,75,0.181334951,-0.017543179,0.354633959,-0.107440389,-0.287959892,-0.027306797,0.951204495,-51.69135741,0.017805398,0.010683239,-33.40791651,-44.55993742,-22.27811693,-105.8065008,-108.5761814,-54.28638922
2/3/2024 14:28,1,76,0.196133109,-0.014346961,0.359765635,-0.096818508,-0.295306591,-0.027633851,0.950082382,-49.39934341,4.725043816,2.83502629,-29.94285758,-44.01946547,-21.53715712,-105.3537279,-114.1434173,-56.59928337
2/3/2024 14:28,1,77,0.207006555,-0.004877085,0.359478794,-0.067249419,-0.295129585,-0.018265875,0.952911997,-42.50990003,5.7691584,3.46149504,-27.32651876,-41.43591303,-20.14096944,-100.8079745,-111.4702263,-55.15827638
2/3/2024 14:28,1,78,0.211730824,0.003454837,0.358276105,-0.040903609,-0.293215072,-0.006068942,0.955149078,-35.62045666,6.813272985,4.087963791,-24.71017995,-38.85236058,-18.74478176,-96.26222109,-108.7970352,-53.7172694
2/3/2024 14:28,1,79,0.210787791,0.009180371,0.354810971,-0.020419112,-0.289620982,0.002261553,0.956920667,-28.73101329,7.857387569,4.714432541,-22.09384114,-36.26880814,-17.34859408,-91.71646766,-106.1238442,-52.27626241
2/3/2024 14:29,1,80,0.205915324,0.010377885,0.349793126,-0.010845,-0.279445346,0.007175453,0.96007326,-21.84156991,8.901502153,5.340901292,-19.47750233,-33.6852557,-15.9524064,-87.17071423,-103.4506531,-50.83525543
2/3/2024 14:29,1,81,0.198942121,0.006785939,0.343050065,-0.010124951,-0.261866705,0.009904335,0.96499964,-14.95212654,9.945616737,5.967370042,-16.86116352,-31.10170325,-14.55621872,-82.6249608,-100.7774621,-49.39424845
2/3/2024 14:29,1,82,0.191459973,0.003898067,0.336610391,-0.012107144,-0.248140712,0.0112521,0.968582463,-8.062683166,10.98973132,6.593838793,-14.2448247,-28.51815081,-13.16003104,-78.07920737,-98.10427104,-47.95324146
2/3/2024 14:29,1,83,0.183795504,0.00203385,0.329955349,-0.014555126,-0.229140987,0.013110275,0.973195863,-1.173239792,12.03384591,7.220307543,-11.62848589,-25.93459837,-11.76384336,-73.53345394,-95.43107999,-46.51223448
2/3/2024 14:29,1,84,0.177903476,-0.001920129,0.325221473,-0.018641417,-0.215120854,0.013740291,0.976312343,5.716203582,13.07796049,7.846776294,-9.01214708,-23.35104593,-10.36765568,-68.98770052,-92.75788894,-45.0712275
2/3/2024 14:29,1,85,0.172306121,-0.005414383,0.320098293,-0.021151632,-0.2009627,0.015208106,0.97925214,12.60564696,14.12207507,8.473245044,-6.395808268,-20.76749348,-8.971467996,-64.44194709,-90.08469789,-43.63022051
2/3/2024 14:29,1,86,0.160259188,0.003125403,0.314733883,-0.012183005,-0.199389932,0.016646964,0.979702735,7.458279582,14.24470805,8.546824828,-9.293155191,-24.73690462,-10.94391027,-64.47505007,-84.71488351,-40.93305003
2/3/2024 14:29,1,87,0.147597785,0.014932875,0.310063471,0.000484122,-0.202887282,0.016431135,0.979063857,2.310912209,14.36734102,8.620404612,-12.19050211,-28.70631576,-12.91635254,-64.50815306,-79.34506913,-38.23587954
2/3/2024 14:29,1,88,0.132591896,0.026057992,0.3058438,0.012526656,-0.204044692,0.013232094,0.978791757,-2.836455165,14.48997399,8.693984396,-15.08784904,-32.67572691,-14.88879482,-64.54125604,-73.97525475,-35.53870905
2/3/2024 14:29,1,89,0.120269034,0.033539751,0.302640164,0.020631,-0.206413216,0.009386682,0.978202097,-7.983822538,14.61260697,8.76756418,-17.98519596,-36.64513805,-16.86123709,-64.57435903,-68.60544038,-32.84153857
2/3/2024 14:29,1,90,0.106714797,0.038834394,0.299989372,0.023859507,-0.204745128,0.005859688,0.978506569,-13.13118991,14.73523994,8.841143964,-20.88254288,-40.61454919,-18.83367936,-64.60746202,-63.235626,-30.14436808
2/3/2024 14:29,1,91,0.087743225,0.037018738,0.296771107,0.012070666,-0.195611902,0.001214725,0.980606,-18.27855728,14.85787291,8.914723748,-23.77988981,-44.58396033,-20.80612164,-64.640565,-57.86581162,-27.4471976
