Rotation,Torque
5.2199,0.0068
5.3201,0.007
5.4206,0.0071
5.5211,0.0072
5.6213,0.0064
5.7214,0.0068
5.8218,0.0071
5.9222,0.0073
6.0223,0.0065
6.1227,0.0068
6.2228,0.0071
6.3228,0.0072
6.4229,0.0073
6.5232,0.0067
6.6232,0.007
6.7236,0.0072
6.8238,0.0073
6.924,0.0073
7.024,0.0074
7.1244,0.0075
7.2248,0.0075
7.3249,0.0076
7.4249,0.0076
7.5249,0.0078
7.625,0.0066
7.7252,0.007
7.8253,0.0074
7.9255,0.0076
8.0256,0.0076
8.1257,0.0077
8.2259,0.0079
8.3262,0.0068
8.4266,0.0072
8.5271,0.0075
8.6274,0.0078
8.7276,0.0072
8.8276,0.0073
8.9278,0.0076
9.0281,0.0078
9.1287,0.0079
9.2288,0.0074
9.3292,0.0078
9.4294,0.0081
9.5295,0.0082
9.6297,0.0082
9.7297,0.0083
9.83,0.008
9.9303,0.008
10.0304,0.0083
10.1305,0.0085
10.2308,0.0079
10.331,0.008
10.4311,0.0084
10.5312,0.0086
10.6312,0.0089
10.7313,0.0084
10.8317,0.0081
10.9318,0.0084
11.0319,0.0086
11.132,0.0087
11.2321,0.0089
11.3323,0.009
11.4327,0.0088
11.5331,0.009
11.6335,0.0091
11.7337,0.0093
11.8339,0.0094
11.9341,0.0092
12.0343,0.0095
12.1345,0.0096
12.235,0.0097
12.3351,0.0087
12.4352,0.0091
12.5356,0.0094
12.6357,0.0096
12.736,0.0098
12.8364,0.0093
12.9369,0.0096
13.0369,0.0098
13.1373,0.0091
13.2376,0.0095
13.3379,0.0097
13.438,0.0099
13.5382,0.01
13.6384,0.0098
13.7387,0.0101
13.8388,0.0102
13.939,0.0104
14.0393,0.01
14.1397,0.0104
14.2397,0.0106
14.3401,0.0107
14.4404,0.0108
14.5405,0.0109
14.6409,0.01
14.7414,0.0104
14.8415,0.0108
14.9418,0.011
15.0423,0.0113
15.1424,0.0115
15.2426,0.0115
15.3429,0.0107
15.4434,0.0111
15.5434,0.0115
15.6437,0.0117
15.7438,0.011
15.8439,0.0115
15.9444,0.0116
16.0447,0.0117
16.1449,0.0113
16.2452,0.0117
16.3452,0.0119
16.4452,0.0122
16.5456,0.012
16.6458,0.0123
16.7458,0.0123
16.8461,0.0125
16.9463,0.0125
17.0463,0.0126
17.1465,0.012
17.2469,0.0124
17.3473,0.0127
17.4473,0.0129
17.5476,0.0131
17.648,0.0134
17.7483,0.0134
17.8488,0.0136
17.9489,0.0138
18.0493,0.014
18.1496,0.014
18.25,0.0129
18.3501,0.0133
18.4506,0.0137
18.5506,0.0141
18.651,0.0144
18.7511,0.0146
18.8512,0.014
18.9517,0.0145
19.0521,0.0148
19.1525,0.0151
19.2528,0.0152
19.3531,0.0154
19.4532,0.015
19.5535,0.0154
19.6541,0.0155
19.7545,0.0155
19.8547,0.0157
19.9551,0.0158
20.0025,0.0158
0.2076,0.0058
0.3077,0.0059
0.4078,0.0055
0.5081,0.0054
0.6081,0.0056
0.7086,0.0058
0.8087,0.006
0.909,0.0054
1.0095,0.0057
1.1096,0.0059
1.2097,0.006
1.3102,0.0062
1.4104,0.0056
1.5106,0.0059
1.611,0.0062
1.7115,0.006
1.8115,0.0063
1.912,0.0063
2.0124,0.0064
2.1125,0.0065
2.2128,0.0063
2.3133,0.0065
2.4133,0.0061
2.5136,0.0063
2.614,0.0064
2.7142,0.0065
2.8146,0.0066
2.9149,0.0056
3.0151,0.0057
3.1156,0.006
3.2157,0.0062
3.316,0.0064
3.4162,0.0066
3.5163,0.0062
3.6164,0.0065
3.7166,0.0058
3.817,0.0061
3.9172,0.0063
4.0173,0.0066
4.1174,0.0059
4.2175,0.0063
4.3177,0.0065
4.418,0.0064
4.5181,0.0065
4.6185,0.0067
4.7188,0.0063
4.819,0.0062
4.9192,0.0065
5.0195,0.0064
5.1197,0.0066
5.22,0.0068
5.3201,0.0067
5.4205,0.0069
5.5206,0.007
5.6207,0.007
5.7208,0.0062
5.8212,0.0066
5.9216,0.0069
6.0217,0.0071
6.1218,0.0063
6.2221,0.0066
6.3222,0.0069
6.4223,0.0071
6.5227,0.0073
6.6232,0.0074
6.7233,0.0074
6.8237,0.0075
6.9241,0.0065
7.0241,0.0069
7.1243,0.0072
7.2245,0.0074
7.325,0.0075
7.4251,0.0069
7.5254,0.007
7.6254,0.0074
7.7257,0.0075
7.8257,0.0077
7.9258,0.0072
8.0262,0.0075
8.1262,0.0077
8.2263,0.0078
8.3266,0.0072
8.427,0.0076
8.5273,0.0078
8.6274,0.0079
8.7275,0.0078
8.8279,0.0077
8.9281,0.0075
9.0282,0.0078
9.1284,0.008
9.2287,0.0077
9.3288,0.008
9.429,0.0082
9.5292,0.008
9.6295,0.0082
9.7298,0.0084
9.8301,0.0085
9.9304,0.0085
10.0305,0.0081
10.1309,0.0084
10.2312,0.0085
10.3316,0.0085
10.4317,0.0087
10.5318,0.0077
10.632,0.0082
10.7322,0.0084
10.8323,0.0086
10.9326,0.0088
11.033,0.009
11.1332,0.0078
11.2332,0.0083
11.3337,0.0086
11.4341,0.0089
11.5344,0.009
11.6346,0.0088
11.7347,0.0089
11.8351,0.0091
11.9352,0.0093
12.0355,0.0094
12.1355,0.0094
12.2356,0.0092
12.3356,0.0091
12.4357,0.0095
12.536,0.0096
12.636,0.0097
12.7362,0.0094
12.8362,0.0098
12.9363,0.009
13.0368,0.0093
13.1369,0.0096
13.2373,0.0098
13.3375,0.0099
13.4375,0.0097
13.5377,0.01
13.6378,0.0102
13.7381,0.0103
13.8384,0.0104
13.9387,0.0093
14.0387,0.0097
14.1389,0.0101
14.239,0.0103
14.3392,0.0106
14.4394,0.0106
14.5395,0.0108
14.6396,0.0109
14.7399,0.0107
14.8402,0.0109
14.9404,0.0112
15.0407,0.0113
15.1411,0.0111
15.2415,0.0114
15.3418,0.0116
15.4421,0.0103
15.5423,0.0108
15.6424,0.0111
15.7426,0.0114
15.8428,0.0117
15.9433,0.0109
16.0434,0.0114
16.1436,0.0117
16.2439,0.0119
16.3439,0.0121
16.444,0.0123
16.5443,0.0124
16.6446,0.0117
16.745,0.0121
16.8453,0.0124
16.9453,0.0126
17.0456,0.0127
17.146,0.0128
17.2464,0.0128
17.3467,0.013
17.447,0.013
