date and time,Repeat num,Test num,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
24-Jan-2024 17:13:30,1,55,0.032539784659942,0.230494192242622,0.382054724295934,0.399140659968058,-0.0228501273940007,-0.172890272736549,0.900151836872101
24-Jan-2024 17:13:36,1,56,0.0330194935202599,0.223223243157069,0.388355358441671,0.410418643554052,-0.00614683746049802,-0.155124793450038,0.898585025469462
24-Jan-2024 17:13:43,1,57,0.0275057593981425,0.272188133001327,0.422139418125153,0.49895054101944,0.00549538778141141,-0.153762791554133,0.852862870693207
24-Jan-2024 17:13:49,1,58,-0.0064329290141662,0.291922098398209,0.423886128266652,0.50042884349823,0.0674111525217692,-0.160322831074397,0.848129304250081
24-Jan-2024 17:13:55,1,59,-0.0336024284362793,0.274642364184062,0.410786245266596,0.480522366364797,0.148957966764768,-0.13815400103728,0.853125596046448
24-Jan-2024 17:14:02,1,60,-0.0590640805661678,0.250266812245051,0.386040836572647,0.410501738389333,0.172088965773582,-0.157560790578524,0.881503450870514
24-Jan-2024 17:14:08,1,61,-0.0809730842709541,0.239517113566399,0.370290567477544,0.328499138355255,0.180512158075968,-0.170589086413383,0.911264534791311
24-Jan-2024 17:14:14,1,62,-0.0901554380853971,0.237173049648603,0.372170142332713,0.299752205610275,0.202406027913094,-0.170443945129712,0.916584424177806
24-Jan-2024 17:14:20,1,63,-0.10682788391908,0.199432918429375,0.352972598870595,0.188971738020579,0.220690654714902,-0.164567537109057,0.942604271570841
24-Jan-2024 17:14:27,1,64,-0.061741316318512,0.19174012641112,0.337800602118174,0.226728221774101,0.158177934090296,-0.169663961728414,0.945932467778524
24-Jan-2024 17:14:33,1,65,-0.0155363798141479,0.162194219231606,0.328469638029734,0.202355421582858,0.0264310053239266,-0.189876807729403,0.960364242394765
24-Jan-2024 17:14:40,1,66,0.014389932093521,0.167916147907575,0.328271748622258,0.213099571069082,0.0134704117352764,-0.176308208703995,0.960896734396617
24-Jan-2024 17:14:46,1,67,0.032594924668471,0.152889094750086,0.329310609896978,0.197243758042653,-0.0308292396366596,-0.179715581734975,0.963247962792714
24-Jan-2024 17:14:52,1,68,0.0815483868122101,0.152722454071045,0.342595573266347,0.212890995542208,-0.12789596815904,-0.177957051992416,0.952182392279307
24-Jan-2024 17:14:58,1,69,0.060220185170571,0.147588151693344,0.339594473441442,0.188310395677884,-0.0614457935094833,-0.168360542257627,0.965618065992991
24-Jan-2024 17:15:05,1,70,0.0719758858283361,0.119525540868441,0.344359560807546,0.126108741760254,-0.0708822836478551,-0.167580293615659,0.975186546643575
24-Jan-2024 17:15:12,1,71,0.0926111514369647,0.164246048529943,0.365677104393641,0.280965387821198,-0.0697512512405713,-0.132449913024902,0.947971657911936
24-Jan-2024 17:15:18,1,72,0.097059307495753,0.146398570140203,0.373929232358932,0.289919469753901,-0.122822082539399,-0.13869093755881,0.938949549198151
24-Jan-2024 17:15:25,1,73,0.115388139088949,0.132912236452103,0.381932940085729,0.268533692757289,-0.112851144870122,-0.116882904867331,0.949469633897146
24-Jan-2024 17:15:32,1,74,0.134471230705579,0.0788795366883278,0.370701938867569,0.156525824467341,-0.15747123559316,-0.139502437909444,0.965008568763733
24-Jan-2024 17:15:39,1,75,0.160834763447444,0.057860154658556,0.369956431786219,0.107540827989578,-0.205824720859528,-0.15046953856945,0.960952667395274
24-Jan-2024 17:15:45,1,76,0.134272650877635,0.0889644811550776,0.366489052772522,0.15234924753507,-0.150035239259402,-0.147081712881724,0.965736055374146
24-Jan-2024 17:15:51,1,77,0.124035829802354,0.0988452052076658,0.36288857460022,0.168720251321793,-0.120880630612373,-0.141602966189384,0.967920438448588
24-Jan-2024 17:15:58,1,78,0.107862522204717,0.0905843168497086,0.352195805311203,0.154226830601692,-0.125081936518351,-0.155058547854424,0.967742435137431
24-Jan-2024 17:16:04,1,79,0.0975672314564387,0.077208482225736,0.352851722637812,0.133086184660594,-0.117982156574726,-0.157690331339836,0.971340294679006
24-Jan-2024 17:16:11,1,80,0.0940969342986743,0.0569072735806306,0.355246780316035,0.095585889617602,-0.13536388874054,-0.163471407691638,0.972531263033549
24-Jan-2024 17:16:16,1,81,0.107344810167948,0.0451500818133354,0.358081857363383,0.0781995435555776,-0.174452510476112,-0.165366532405217,0.967525243759155
24-Jan-2024 17:16:23,1,82,0.0924485931793849,0.0759311154484749,0.363705390691757,0.125209650894006,-0.13130742708842,-0.16257227063179,0.969871608416239
24-Jan-2024 17:16:30,1,83,0.124273928503195,0.0854732558131218,0.378209372361501,0.145937663316727,-0.154176995158195,-0.150604115923246,0.965530979633331
24-Jan-2024 17:16:36,1,84,0.174032890796661,0.087897585829099,0.392357647418976,0.183516445755959,-0.247334697842598,-0.13415440817674,0.941886341571808
24-Jan-2024 17:16:43,1,85,0.169562370578448,0.074531086285909,0.387829458713531,0.125671178102493,-0.261946336428324,-0.157784459988276,0.943766379356384
24-Jan-2024 17:16:50,1,86,0.165023717284203,0.107426839073499,0.391506300369898,0.201137028137843,-0.292889382441839,-0.158523402611415,0.921211167176564
24-Jan-2024 17:16:56,1,87,0.165217365821203,0.0981180558602015,0.399110213915507,0.202410824100176,-0.368017627795537,-0.168169283866882,0.891802632808685
24-Jan-2024 17:17:02,1,88,0.191703388094902,0.0866731132070224,0.409570757548014,0.199138996005058,-0.432674676179886,-0.160593315958977,0.864491804440816
24-Jan-2024 17:17:09,1,89,0.200830758611361,0.0934680943687757,0.414240326484044,0.206603541970253,-0.44840146501859,-0.165753396352132,0.853684341907501
24-Jan-2024 17:17:16,1,90,0.227797784407934,0.118126585086187,0.432263803482056,0.251688440640767,-0.47291294336319,-0.161422954003016,0.828823777039846
24-Jan-2024 17:17:22,1,91,0.219611535469691,0.134668218096097,0.429912930727005,0.305062109231949,-0.406852281093597,-0.117267919580142,0.853027705351512
24-Jan-2024 17:17:29,1,92,0.220328848560651,0.119002722700437,0.418904536962509,0.269132137298584,-0.373218770821889,-0.106349609792233,0.881456383069356
24-Jan-2024 17:17:35,1,93,0.192869069178899,0.133789651592573,0.403496342897415,0.286182794968287,-0.311852180957794,-0.110550194978714,0.899236504236857
24-Jan-2024 17:17:41,1,94,0.231852700312932,0.106717002888521,0.410495044787725,0.242551019787788,-0.350640247265498,-0.0934641266862551,0.899713738759359
24-Jan-2024 17:17:48,1,95,0.256339581807454,0.0899289200703303,0.425587995847066,0.219506567716599,-0.429240751266479,-0.100436369081338,0.870334204037984
24-Jan-2024 17:17:54,1,96,0.241749135653178,0.0772351488471031,0.406470302740733,0.176123049855232,-0.401024166742961,-0.118540918827057,0.891127594312032
24-Jan-2024 17:18:01,1,97,0.27114862203598,0.0476929903030395,0.426534660657247,0.120047933359941,-0.487139830986659,-0.13355317513148,0.854661373297373
24-Jan-2024 17:18:06,1,98,0.272840277353923,0.0497407180567582,0.426767218112946,0.12254364391168,-0.487266488869985,-0.133821724851926,0.854193246364593
24-Jan-2024 17:18:12,1,99,0.242540523409843,0.047023835281531,0.394913313786189,0.106336245437463,-0.434548709789912,-0.148996179302533,0.881850385665894
24-Jan-2024 17:18:19,1,100,0.203977237145106,0.0132815214494864,0.374301459391912,0.0181541702399651,-0.422048687934875,-0.172561401128769,0.889813427130381
24-Jan-2024 17:18:33,2,1,-0.1213687941432,-0.00462876092642546,0.301888424158096,-0.0955423146486282,0.216736459732056,-0.199755385518074,0.950786403814952
24-Jan-2024 17:18:40,2,2,-0.108429630100727,-0.0457922550539176,0.297785715262095,-0.159468950827916,0.162206358710925,-0.199683942397436,0.953092408180237
24-Jan-2024 17:18:46,2,3,-0.073016349474589,-0.0884288916985194,0.302441628774007,-0.22805008093516,0.0529106460511684,-0.189394399523735,0.953584484259288
