Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
33.577,503.8842,32.0953,24.8129
33.627,503.6365,31.9951,25.0246
33.677,510.096,31.895,25.1905
33.727,517.2855,31.7948,25.3473
33.777,522.7427,31.6949,25.4376
33.827,532.4687,31.5951,25.5955
33.877,535.6159,31.4951,25.8095
33.927,534.7151,31.3946,25.929
33.977,541.1906,31.2951,26.037
34.027,542.6429,31.195,26.2171
34.077,547.2464,31.0951,26.396
34.127,555.7518,30.9949,26.5968
34.177,563.1281,30.8951,26.8152
34.227,576.1653,30.7953,26.851
34.277,583.4988,30.6951,27.0942
34.327,584.448,30.5952,27.2866
34.377,584.3297,30.495,27.3724
34.427,591.386,30.3951,27.4868
34.477,594.1861,30.2952,27.7401
34.527,594.7769,30.1954,27.8729
34.577,606.7404,30.0951,28.1295
34.627,609.3557,29.9952,28.2979
34.677,612.6666,29.895,28.4791
34.727,617.3501,29.7951,28.6258
34.777,621.0691,29.6951,28.7659
34.827,623.2224,29.5946,29.0415
34.877,633.8004,29.4952,29.109
34.927,641.894,29.3953,29.3669
34.977,651.0816,29.2949,29.4232
35.027,657.3535,29.1951,29.6146
35.077,660.4903,29.0951,29.7781
35.127,661.2193,28.9952,30.0526
35.177,666.1634,28.8952,30.0655
35.227,679.0004,28.7954,30.3297
35.277,683.9004,28.695,30.5273
35.327,691.9377,28.5952,30.65
35.377,698.2161,28.4954,30.8633
35.427,701.6825,28.3954,31.0088
35.477,708.8938,28.2952,31.1767
35.527,708.9604,28.1953,31.3701
35.577,718.2459,28.0953,31.6618
35.627,718.3877,27.9952,31.8044
35.677,729.1443,27.8953,31.8626
35.727,739.5288,27.7946,32.0164
35.777,750.8448,27.6951,32.2074
35.827,750.5945,27.5955,32.3962
35.877,758.7792,27.4951,32.6276
35.927,759.7914,27.3952,32.726
35.977,767.2553,27.2953,32.7214
36.027,772.7481,27.1953,33.0505
36.077,777.3035,27.0954,33.1455
36.127,787.3586,26.9953,33.4837
36.177,794.8972,26.895,33.5589
36.227,802.2087,26.7952,33.767
36.277,804.882,26.6955,33.9385
36.327,813.6754,26.5953,34.1846
36.377,819.2447,26.4952,34.2087
36.427,830.2567,26.3953,34.513
36.477,843.9025,26.2954,34.6246
36.527,859.8595,26.1953,34.8003
36.577,862.3935,26.0952,35.0605
36.627,868.5129,25.9949,35.1218
36.677,875.8192,25.8953,35.3601
36.727,884.0349,25.795,35.5537
36.777,889.2982,25.6954,35.6831
36.827,901.9216,25.5955,35.8727
36.877,913.3136,25.4953,36.0684
36.927,922.8469,25.3954,36.1604
36.977,925.6803,25.2954,36.3451
37.027,934.8407,25.1955,36.5328
37.077,939.8978,25.0953,36.6629
37.127,948.5434,24.9952,36.7545
37.177,960.5054,24.8957,37.0056
37.227,970.3932,24.7954,37.1254
37.277,982.3123,24.6954,37.3605
37.312,981.0723,24.6254,37.4949
37.313,981.5693,24.6234,37.4969
54.669,26.4276,44.0631,4.1754
54.719,25.0888,44.0619,4.1387
54.769,24.8559,43.9844,4.4626
54.819,26.4884,43.8815,4.557
54.869,30.1021,43.7816,4.7712
54.919,34.5429,43.6817,4.9212
54.969,35.7802,43.5818,5.1776
55.019,42.0233,43.4818,5.4534
55.069,42.4409,43.382,5.6053
55.119,45.3748,43.2819,5.7152
55.169,46.7494,43.1819,5.8789
55.219,52.1227,43.0818,6.0862
55.269,47.3589,42.9818,6.2926
55.319,53.1872,42.882,6.4321
55.369,59.0753,42.7821,6.5697
55.419,62.6248,42.6818,6.8347
55.469,68.2186,42.5818,7.0408
55.519,62.3209,42.4821,7.1752
55.569,62.6331,42.382,7.3919
55.619,68.695,42.2818,7.7142
55.669,71.9052,42.1813,7.8106
55.719,78.5235,42.0819,7.9271
55.769,88.0615,41.9819,8.1336
55.819,90.9199,41.8818,8.3076
55.869,97.4231,41.7822,8.4454
55.919,96.5062,41.6818,8.6958
55.969,102.848,41.5822,8.7928
56.019,104.8578,41.482,8.9582
56.069,109.2553,41.3818,9.1332
56.119,112.5061,41.282,9.2618
56.169,123.5108,41.1819,9.5046
56.219,132.2238,41.0824,9.5812
56.269,133.6906,40.9819,9.8482
56.319,140.3054,40.882,9.9942
56.369,140.1886,40.782,10.2236
56.419,147.912,40.6822,10.2509
56.469,152.9398,40.582,10.486
56.519,159.4027,40.4819,10.6776
56.569,165.8093,40.3815,10.814
56.619,175.4388,40.2818,10.9999
56.669,171.9234,40.1819,11.1675
56.719,172.832,40.0824,11.2953
56.769,178.1754,39.9818,11.4759
56.819,176.6644,39.8821,11.5948
56.869,189.1854,39.7821,11.7952
56.919,190.521,39.6821,12.0487
56.969,201.4762,39.5822,12.1615
57.019,204.6894,39.482,12.3309
57.069,204.2947,39.3822,12.4621
57.119,209.8593,39.2826,12.7038
57.169,213.599,39.1822,12.7839
57.219,217.2541,39.0822,13.0281
57.269,224.0942,38.9823,13.1868
57.319,236.9501,38.8823,13.3377
57.369,243.1497,38.7824,13.683
57.419,251.0536,38.6821,13.6815
57.469,252.4731,38.582,13.9796
57.519,255.9789,38.4823,14.055
57.569,258.4378,38.3821,14.1674
57.619,267.0602,38.2823,14.4124
57.669,269.607,38.1822,14.4886
57.719,277.1771,38.0822,14.798
57.769,288.51,37.9824,14.8986
57.819,294.5237,37.8823,15.1157
57.869,291.9478,37.7826,15.3467
57.919,295.6962,37.6824,15.4442
57.969,305.1357,37.5823,15.6855
58.019,312.4913,37.4829,15.7637
58.069,319.2335,37.3824,15.987
58.119,329.6944,37.2824,16.1183
58.169,338.6297,37.1825,16.3255
58.219,336.5818,37.0824,16.6204
58.269,339.6269,36.9825,16.745
58.319,344.743,36.8825,16.718
58.369,344.8567,36.7818,16.849
58.419,352.5769,36.6825,17.1633
58.469,360.2211,36.5826,17.2634
58.519,370.5889,36.4822,17.4246
58.569,376.0441,36.3824,17.648
58.619,376.1684,36.2826,17.8747
58.669,375.3468,36.1827,17.99
58.719,377.2622,36.0823,18.0954
58.769,373.754,35.9823,18.22
58.819,376.4334,35.8824,18.3809
58.869,379.9466,35.7824,18.6887
58.919,384.0885,35.6826,18.7078
58.969,388.0901,35.5826,18.8645
59.019,388.0703,35.4825,19.0669
59.069,388.7502,35.3823,19.2298
59.119,385.7858,35.2824,19.377
59.169,390.0931,35.1824,19.5053
59.219,397.9175,35.0826,19.7489
59.269,406.6711,34.9819,19.8358
59.319,410.3391,34.8824,20.1503
59.369,412.5913,34.7826,20.1589
59.419,410.7596,34.6824,20.4206
59.469,412.194,34.5827,20.568
59.519,413.9614,34.4824,20.742
59.569,423.5769,34.3827,20.8369
59.619,425.604,34.2828,21.0347
59.669,430.1534,34.1824,21.1741
59.719,445.3111,34.0826,21.4601
59.769,445.8486,33.9826,21.6375
59.819,446.2298,33.8824,21.6953
59.869,445.3184,33.7827,21.8156
