Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
10.85,1259.8557,21.6854,-24.6603
10.9,1260.1177,21.7851,-24.7522
10.95,1267.3978,21.8854,-24.9484
11,1253.2972,21.9854,-24.9694
11.05,1266.8755,22.0854,-25.0695
11.1,1256.0714,22.1857,-25.2574
11.15,1255.9228,22.2857,-25.2528
11.2,1265.102,22.3855,-25.3443
11.25,1249.4454,22.4854,-25.4214
11.3,1255.9977,22.5855,-25.6783
11.35,1253.6845,22.6853,-25.7372
11.4,1253.8321,22.7855,-25.8999
11.45,1260.7187,22.8854,-25.9688
11.5,1251.9822,22.9854,-26.099
11.55,1251.8405,23.0854,-26.1245
11.6,1260.9972,23.1854,-26.3184
11.65,1245.7634,23.2855,-26.396
11.7,1257.586,23.3848,-26.4669
11.75,1248.6494,23.4853,-26.6392
11.8,1242.3652,23.5852,-26.7336
11.85,1258.8605,23.6853,-26.8585
11.9,1241.907,23.7853,-26.8293
11.95,1246.2912,23.8853,-27.0163
12,1249.9241,23.9855,-27.1162
12.05,1243.23,24.0857,-27.2846
12.1,1258.1296,24.1853,-27.3487
12.15,1244.797,24.2854,-27.3941
12.2,1248.7762,24.3852,-27.6093
12.25,1254.7368,24.4854,-27.7009
12.3,1242.3924,24.5856,-27.8169
12.35,1255.3979,24.6853,-27.8793
12.4,1247.3592,24.7853,-28.0656
12.45,1243.0799,24.8853,-28.1245
12.5,1256.7306,24.9852,-28.2692
12.55,1240.8934,25.0853,-28.3635
12.6,1254.0419,25.1849,-28.4455
12.65,1245.7818,25.2853,-28.5414
12.7,1243.0587,25.3854,-28.646
12.75,1255.8239,25.4853,-28.8168
12.8,1244.5288,25.5853,-28.9084
12.85,1247.6619,25.6854,-29.0931
12.9,1251.3111,25.7853,-29.1486
12.95,1245.3922,25.8856,-29.2487
13,1256.6407,25.9853,-29.4344
13.05,1249.4019,26.0854,-29.5077
13.1,1248.8186,26.1852,-29.4981
13.15,1255.2823,26.2851,-29.7505
13.2,1244.2011,26.3855,-29.8245
13.25,1247.9506,26.4853,-29.9656
13.3,1249.0695,26.5853,-29.9977
13.35,1240.8798,26.6852,-30.2114
13.4,1252.4333,26.7855,-30.3466
13.45,1239.8607,26.8852,-30.4483
13.5,1243.6653,26.9848,-30.4241
13.55,1247.7037,27.0848,-30.6828
13.6,1236.2266,27.1849,-30.6948
13.65,1244.5745,27.2854,-30.8592
13.7,1238.438,27.3852,-31.1021
13.75,1242.5815,27.4852,-31.0979
13.8,1249.9717,27.5851,-31.2447
13.85,1235.1651,27.6854,-31.3734
13.9,1245.2557,27.7851,-31.5343
