Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
11.8,426.8961,23.586,-17.8853
11.85,427.5621,23.686,-18.0446
11.9,431.7288,23.7861,-18.1224
11.95,434.4621,23.886,-18.1206
12,433.4401,23.9863,-18.2058
12.05,434.7476,24.0861,-18.0959
12.1,434.5354,24.186,-18.28
12.15,430.834,24.2859,-18.2866
12.2,434.3539,24.3859,-18.2981
12.25,435.8018,24.4859,-18.3414
12.3,436.3226,24.5863,-18.3792
12.35,435.9457,24.6859,-18.4873
12.4,433.9601,24.7857,-18.3914
12.45,433.4233,24.8857,-18.5542
12.5,436.8971,24.986,-18.5254
12.55,440.7129,25.0859,-18.5844
12.6,439.5399,25.1852,-18.721
12.65,435.7893,25.2857,-18.7215
12.7,437.4074,25.386,-18.8004
12.75,432.3744,25.4857,-18.8328
12.8,439.1963,25.5858,-18.9289
12.85,437.3038,25.686,-19.0432
12.9,439.767,25.7858,-19.0153
12.95,436.8111,25.8862,-18.9774
13,437.7217,25.986,-18.938
13.05,439.5942,26.0858,-19.0492
13.1,437.8804,26.1856,-19.1842
13.15,438.5229,26.2858,-19.1037
13.2,436.3265,26.386,-19.2404
13.25,439.5562,26.4857,-19.2128
13.3,436.3525,26.5857,-19.2483
13.35,439.1913,26.686,-19.3146
13.4,440.8838,26.7859,-19.3612
13.45,441.1886,26.8858,-19.4228
13.5,446.9874,26.9852,-19.4731
13.55,442.9267,27.0859,-19.4551
13.6,442.0271,27.1857,-19.5233
13.65,442.7119,27.2858,-19.6465
13.7,441.4507,27.3857,-19.5714
13.75,442.2332,27.4856,-19.727
13.8,447.8029,27.586,-19.7257
13.85,446.4989,27.686,-19.7366
13.9,448.3632,27.7858,-19.7485
13.95,441.9749,27.886,-19.8459
14,445.6372,27.9857,-19.9598
14.05,446.9107,28.0858,-19.8725
14.1,452.2769,28.1858,-19.9932
14.15,452.4781,28.2857,-20.0841
14.2,452.9132,28.3859,-20.1481
14.25,450.3154,28.4857,-20.0726
14.3,447.2165,28.5859,-20.1466
14.35,451.1362,28.6858,-20.2625
14.4,455.3922,28.7855,-20.1902
14.45,454.4182,28.8858,-20.4131
14.5,450.9143,28.9854,-20.3177
14.55,453.3173,29.0859,-20.4049
14.6,454.789,29.1858,-20.4366
14.65,450.6814,29.2857,-20.4709
14.7,454.5185,29.3859,-20.5247
14.75,455.4784,29.4859,-20.6059
14.8,454.9566,29.5858,-20.6508
14.85,451.1838,29.6858,-20.7521
14.9,450.2166,29.7857,-20.6977
14.95,453.6181,29.8858,-20.6843
14.983,453.2801,29.9518,-20.7544
14.984,453.0706,29.9538,-20.7547
39.354,330.4374,0.3456,-8.4383
39.404,331.6254,0.3456,-8.4579
39.454,326.0649,0.3685,-8.4551
39.504,327.3212,0.5039,-8.746
39.554,335.4115,0.6059,-8.834
39.604,330.2588,0.7048,-8.9232
39.654,333.355,0.8049,-8.9249
39.704,334.4519,0.9049,-9.0132
39.754,332.5041,1.0048,-9.0639
39.804,337.0141,1.1049,-9.1539
39.854,335.9656,1.2048,-9.2017
39.904,337.0236,1.3047,-9.106
39.954,337.7328,1.4048,-9.2488
40.004,334.9688,1.5049,-9.3095
40.054,334.7493,1.6049,-9.2756
40.104,338.9088,1.7048,-9.2857
40.154,346.2407,1.804,-9.4177
40.204,343.2433,1.9045,-9.5271
40.254,340.5062,2.0047,-9.4987
40.304,337.8357,2.1047,-9.5627
40.354,336.3403,2.2047,-9.6009
40.404,336.5151,2.3046,-9.6423
40.454,340.2973,2.405,-9.6847
40.504,341.5125,2.5049,-9.7598
40.554,336.6959,2.6048,-9.7982
40.604,334.897,2.7044,-9.7372
40.654,337.4283,2.8044,-9.8761
40.704,335.3274,2.9046,-9.8876
40.754,341.4175,3.0048,-9.8855
40.804,341.6331,3.1044,-9.9747
40.854,336.0268,3.2044,-10.0562
40.904,336.7932,3.3044,-10.0484
40.954,335.4848,3.4047,-10.1339
41.004,335.8841,3.5047,-10.2264
41.054,337.3964,3.604,-10.3628
41.104,337.483,3.7043,-10.2754
41.154,336.6455,3.8046,-10.3309
41.204,339.7459,3.9045,-10.4586
41.254,329.1539,4.0047,-10.4865
41.304,333.206,4.1044,-10.574
41.354,333.6801,4.2048,-10.5945
41.404,335.9228,4.3046,-10.7147
41.454,335.752,4.4046,-10.7593
41.504,334.1033,4.5046,-10.7912
41.554,334.4289,4.6046,-10.9228
41.604,331.7438,4.7042,-10.9253
41.654,333.9531,4.8045,-11.0147
41.704,339.0636,4.9044,-11.021
41.754,336.6504,5.0043,-11.1181
41.804,339.5679,5.1044,-11.2332
41.854,337.4852,5.2043,-11.2499
41.904,340.5581,5.3045,-11.2642
41.954,346.4499,5.4041,-11.3458
42.004,346.2971,5.5042,-11.2895
42.054,349.4343,5.6042,-11.242
42.104,348.01,5.7045,-11.3013
42.154,344.2019,5.8043,-11.3729
42.204,343.1714,5.9044,-11.4734
42.254,344.4173,6.0046,-11.5145
42.304,350.0418,6.1045,-11.5589
42.354,347.9098,6.2043,-11.5831
42.404,352.3705,6.3043,-11.6182
42.454,340.3228,6.4045,-11.6491
42.504,350.3918,6.5043,-11.8314
42.554,345.2838,6.6042,-11.7837
42.604,348.0719,6.7042,-11.783
42.654,356.4154,6.8043,-11.8269
42.704,351.4366,6.9042,-11.7926
42.754,353.2146,7.0043,-11.9516
42.804,350.9954,7.1041,-11.9782
42.854,352.3455,7.204,-11.8887
42.904,352.1225,7.3042,-12.0589
42.954,358.8588,7.4038,-12.0355
43.004,356.8751,7.5045,-12.1399
43.054,352.0904,7.6042,-12.1684
43.104,355.1027,7.7042,-12.0068
43.154,352.1176,7.8048,-12.0288
43.204,361.1884,7.9042,-12.12
43.254,360.6611,8.0043,-12.1355
43.304,359.5221,8.1043,-12.3464
43.354,360.9752,8.2043,-12.3339
43.404,359.6093,8.3041,-12.3243
43.454,361.0077,8.4043,-12.414
43.504,359.1308,8.5043,-12.3581
43.554,363.8859,8.6043,-12.4836
43.604,364.1832,8.704,-12.543
43.654,365.8317,8.8044,-12.5073
43.704,363.6702,8.9043,-12.5617
43.754,362.5858,9.0037,-12.6112
43.804,365.7688,9.1044,-12.6209
43.854,365.8492,9.2041,-12.6134
43.904,364.6096,9.3043,-12.5925
43.954,362.3557,9.4042,-12.7547
44.004,365.1523,9.5042,-12.7023
44.054,363.2319,9.6046,-12.834
44.104,362.0261,9.7043,-12.7806
44.154,362.6923,9.8041,-12.8316
44.204,362.893,9.9043,-12.9117
44.254,363.0757,10.0041,-12.9487
44.304,360.8312,10.1041,-13.0145
44.354,360.1241,10.2043,-12.9791
44.404,360.8742,10.3041,-13.058
44.454,361.1354,10.404,-13.0882
44.504,369.371,10.504,-13.1791
44.554,369.262,10.6044,-13.2167
44.604,366.3268,10.7043,-13.3268
44.654,365.6641,10.8038,-13.2761
44.704,367.4412,10.9038,-13.4399
44.754,370.5612,11.0043,-13.4959
44.804,373.7743,11.1041,-13.3396
44.854,372.7623,11.204,-13.4206
44.904,371.7597,11.3042,-13.5303
44.954,370.4382,11.404,-13.5921
