Time,Displacement,Force,Rotation,Torque
4.56,1.6502,0.0002,4.414,0.00077
4.58,1.6502,0.0002,4.434,0.00077
4.6,1.6502,0.0002,4.4531,0.00078
4.62,1.6502,0.0002,4.4713,0.00077
4.64,1.6502,0.0002,4.4887,0.00077
4.66,1.6502,0.0002,4.5059,0.00077
4.68,1.6502,0.0002,4.5236,0.00076
4.7,1.6502,0.0002,4.5421,0.00076
4.72,1.6502,0.0002,4.5616,0.00076
4.74,1.6502,0.0002,4.5821,0.00077
4.76,1.6502,0.0002,4.6027,0.00076
4.78,1.6502,0.0002,4.6243,0.00077
4.8,1.6502,0.0002,4.647,0.00078
4.82,1.6502,0.0002,4.6694,0.00079
4.84,1.6502,0.0002,4.6909,0.00077
4.86,1.6502,0.0002,4.7119,0.00077
4.88,1.6502,0.0002,4.7327,0.00076
4.9,1.6502,0.0002,4.7534,0.00077
4.92,1.6502,0.0002,4.7741,0.00077
4.94,1.6502,0.0002,4.7945,0.00077
4.96,1.6502,0.0002,4.8142,0.00077
4.98,1.6502,0.0002,4.8327,0.00077
5,1.6502,0.0002,4.8503,0.00077
5.02,1.6502,0.0002,4.8675,0.00077
5.04,1.6502,0.0002,4.8851,0.00077
5.06,1.6502,0.0002,4.9029,0.00079
5.08,1.6502,0.0002,4.9211,0.00078
5.1,1.6502,0.0002,4.9402,0.00078
5.12,1.6502,0.0002,4.9606,0.0008
5.14,1.6502,0.0002,4.9822,0.00081
5.16,1.6502,0.0002,5.0045,0.00081
5.18,1.6502,0.0002,5.0271,0.00081
5.2,1.6502,0.0002,5.0495,0.00081
5.22,1.6502,0.0002,5.0718,0.00081
5.24,1.6502,0.0002,5.0932,0.00081
5.26,1.6502,0.0002,5.1139,0.0008
5.28,1.6502,0.0002,5.1345,0.00081
5.3,1.6502,0.0002,5.1555,0.00081
5.32,1.6502,0.0002,5.1763,0.00081
5.34,1.6502,0.0002,5.196,0.00081
5.36,1.6502,0.0002,5.2142,0.00081
5.38,1.6502,0.0002,5.2314,0.00081
5.4,1.6502,0.0002,5.2485,0.0008
5.42,1.6502,0.0002,5.2661,0.0008
5.44,1.6502,0.0002,5.2844,0.00081
5.46,1.6502,0.0002,5.3034,0.0008
5.48,1.6502,0.0002,5.323,0.00082
5.5,1.6502,0.0002,5.3429,0.00082
5.52,1.6502,0.0002,5.3637,0.0008
5.54,1.6502,0.0002,5.3851,0.00081
5.56,1.6502,0.0002,5.407,0.00082
5.58,1.6502,0.0002,5.4292,0.00082
5.6,1.6502,0.0002,5.4509,0.00082
5.62,1.6502,0.0002,5.472,0.00082
5.64,1.6502,0.0002,5.4935,0.00084
5.66,1.6502,0.0002,5.515,0.00082
5.68,1.6502,0.0002,5.5354,0.00083
5.7,1.6502,0.0002,5.5547,0.00083
5.72,1.6502,0.0002,5.5732,0.00082
5.74,1.6502,0.0002,5.591,0.00082
5.76,1.6502,0.0002,5.6084,0.00081
5.78,1.6502,0.0002,5.6258,0.00081
5.8,1.6502,0.0002,5.6437,0.00082
5.82,1.6502,0.0002,5.6623,0.00082
5.84,1.6502,0.0002,5.6816,0.00083
5.86,1.6502,0.0002,5.7016,0.00084
5.88,1.6502,0.0002,5.7222,0.00082
5.9,1.6502,0.0002,5.744,0.00082
5.92,1.6502,0.0002,5.7665,0.00083
5.94,1.6502,0.0002,5.7888,0.00084
5.96,1.6502,0.0002,5.8108,0.00085
5.98,1.6502,0.0002,5.8324,0.00084
6,1.6502,0.0002,5.8534,0.00084
6.02,1.6502,0.0002,5.8742,0.00084
6.04,1.6502,0.0002,5.895,0.00084
6.06,1.6502,0.0002,5.9158,0.00085
6.08,1.6502,0.0002,5.936,0.00085
6.1,1.6502,0.0002,5.955,0.00085
6.12,1.6502,0.0002,5.9728,0.00084
6.14,1.6502,0.0002,5.9898,0.00083
6.16,1.6502,0.0002,6.0072,0.00082
6.18,1.6502,0.0002,6.0254,0.00083
6.2,1.6502,0.0002,6.0441,0.00084
6.22,1.6502,0.0002,6.0632,0.00084
6.24,1.6502,0.0002,6.0828,0.00085
6.26,1.6502,0.0002,6.1031,0.00085
6.28,1.6502,0.0002,6.1244,0.00085
6.3,1.6502,0.0002,6.1465,0.00086
6.32,1.6502,0.0002,6.1688,0.00086
6.34,1.6502,0.0002,6.1907,0.00085
6.36,1.6502,0.0002,6.2118,0.00086
6.38,1.6502,0.0002,6.2325,0.00085
6.4,1.6502,0.0002,6.2528,0.00087
6.42,1.6502,0.0002,6.2735,0.00087
6.44,1.6502,0.0002,6.2947,0.00087
6.46,1.6502,0.0002,6.3146,0.00086
6.48,1.6502,0.0002,6.3331,0.00086
6.5,1.6502,0.0002,6.351,0.00087
6.52,1.6502,0.0002,6.3684,0.00087
6.54,1.6502,0.0002,6.3858,0.00087
6.56,1.6502,0.0002,6.4037,0.00085
6.58,1.6502,0.0002,6.4224,0.00087
6.6,1.6502,0.0002,6.4418,0.00088
6.62,1.6502,0.0002,6.462,0.00089
6.64,1.6502,0.0002,6.4831,0.00089
6.66,1.6502,0.0002,6.5051,0.00089
6.68,1.6502,0.0002,6.5274,0.00089
6.7,1.6502,0.0002,6.5496,0.00089
6.72,1.6502,0.0002,6.5714,0.00089
6.74,1.6502,0.0002,6.5926,0.0009
6.76,1.6502,0.0002,6.6133,0.0009
6.78,1.6502,0.0002,6.6337,0.0009
6.8,1.6502,0.0002,6.654,0.0009
6.82,1.6502,0.0002,6.6744,0.0009
6.84,1.6502,0.0002,6.6939,0.00089
